doc_id,ref,sent_index,skill_digit,inference_reason,confidence
special-mission-aviator-ca90ad358d,2.2,20,7,verbs=directs|operates,medium
special-mission-aviator-ca90ad358d,2.2,20,9,verbs=directs|operates,medium
special-mission-aviator-ca90ad358d,2.3,21,1,verbs=inspects|operates,medium
special-mission-aviator-ca90ad358d,2.3,21,3,verbs=inspects|operates,medium
special-mission-aviator-ca90ad358d,2.3,21,5,verbs=inspects|operates,medium
special-mission-aviator-ca90ad358d,2.3,22,3,verbs=determines,medium
special-mission-aviator-ca90ad358d,2.3,22,5,verbs=determines,medium
special-mission-aviator-ca90ad358d,2.3,22,7,verbs=determines,medium
special-mission-aviator-ca90ad358d,2.3,22,9,verbs=determines,medium
special-mission-aviator-ca90ad358d,2.3,23,1,verbs=inspects|operates,medium
special-mission-aviator-ca90ad358d,2.3,23,3,verbs=inspects|operates,medium
special-mission-aviator-ca90ad358d,2.3,23,5,verbs=inspects|operates,medium
special-mission-aviator-ca90ad358d,2.3,24,1,verbs=loads|operates|troubleshoots,high
special-mission-aviator-ca90ad358d,2.3,24,3,verbs=loads|operates|troubleshoots,high
special-mission-aviator-ca90ad358d,2.3,24,5,verbs=loads|operates|troubleshoots,high
special-mission-aviator-ca90ad358d,2.3,24,7,verbs=loads|operates|troubleshoots,high
special-mission-aviator-ca90ad358d,2.4,25,1,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.4,25,3,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.4,25,5,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.4,26,5,verbs=plans,medium
special-mission-aviator-ca90ad358d,2.4,26,7,verbs=plans,medium
special-mission-aviator-ca90ad358d,2.4,26,9,verbs=plans,medium
special-mission-aviator-ca90ad358d,2.4,27,1,verbs=determines|loads,medium
special-mission-aviator-ca90ad358d,2.4,27,3,verbs=determines|loads,medium
special-mission-aviator-ca90ad358d,2.4,27,5,verbs=determines|loads,medium
special-mission-aviator-ca90ad358d,2.4,27,7,verbs=determines|loads,medium
special-mission-aviator-ca90ad358d,2.4,27,9,verbs=determines|loads,medium
special-mission-aviator-ca90ad358d,2.4,28,3,verbs=computes,medium
special-mission-aviator-ca90ad358d,2.4,28,5,verbs=computes,medium
special-mission-aviator-ca90ad358d,2.4,28,7,verbs=computes,medium
special-mission-aviator-ca90ad358d,2.4,28,9,verbs=computes,medium
special-mission-aviator-ca90ad358d,2.4,29,1,,low
special-mission-aviator-ca90ad358d,2.4,29,3,,low
special-mission-aviator-ca90ad358d,2.4,29,5,,low
special-mission-aviator-ca90ad358d,2.4,30,1,verbs=attaches,medium
special-mission-aviator-ca90ad358d,2.4,30,3,verbs=attaches,medium
special-mission-aviator-ca90ad358d,2.4,30,5,verbs=attaches,medium
special-mission-aviator-ca90ad358d,2.4,31,1,verbs=connects|inspects,medium
special-mission-aviator-ca90ad358d,2.4,31,3,verbs=connects|inspects,medium
special-mission-aviator-ca90ad358d,2.4,31,5,verbs=connects|inspects,medium
special-mission-aviator-ca90ad358d,2.4,32,1,verbs=checks,medium
special-mission-aviator-ca90ad358d,2.4,32,3,verbs=checks,medium
special-mission-aviator-ca90ad358d,2.4,32,5,verbs=checks,medium
special-mission-aviator-ca90ad358d,2.4,33,1,verbs=operates|supervises,medium
special-mission-aviator-ca90ad358d,2.4,33,3,verbs=operates|supervises,medium
special-mission-aviator-ca90ad358d,2.4,33,5,verbs=operates|supervises,medium
special-mission-aviator-ca90ad358d,2.4,33,7,verbs=operates|supervises,medium
special-mission-aviator-ca90ad358d,2.4,33,9,verbs=operates|supervises,medium
special-mission-aviator-ca90ad358d,2.4,34,1,verbs=stows,medium
special-mission-aviator-ca90ad358d,2.4,34,3,verbs=stows,medium
special-mission-aviator-ca90ad358d,2.4,34,5,verbs=stows,medium
special-mission-aviator-ca90ad358d,2.4,35,1,,low
special-mission-aviator-ca90ad358d,2.4,35,3,,low
special-mission-aviator-ca90ad358d,2.4,35,5,,low
special-mission-aviator-ca90ad358d,2.4,36,1,,low
special-mission-aviator-ca90ad358d,2.4,36,3,,low
special-mission-aviator-ca90ad358d,2.4,36,5,,low
special-mission-aviator-ca90ad358d,2.4,37,1,,low
special-mission-aviator-ca90ad358d,2.4,37,3,,low
special-mission-aviator-ca90ad358d,2.4,37,5,,low
special-mission-aviator-ca90ad358d,2.5,38,1,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.5,38,3,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.5,38,5,verbs=checks|performs,medium
special-mission-aviator-ca90ad358d,2.5,39,1,verbs=performs,medium
special-mission-aviator-ca90ad358d,2.5,39,3,verbs=performs,medium
special-mission-aviator-ca90ad358d,2.5,39,5,verbs=performs,medium
special-mission-aviator-ca90ad358d,2.5,40,1,,low
special-mission-aviator-ca90ad358d,2.5,40,3,,low
special-mission-aviator-ca90ad358d,2.5,40,5,,low
