doc_id,cem_code,afsc_title,afsc_codes,afsc_families,skill_digits,skill_labels
missile-and-space-facilities-1da398d5f0,,MISSILE AND SPACE FACILITIES,,,,
precision-measurement-equipment-laboratory-career-field-4cf9afead8,2P000,PRECISION MEASUREMENT EQUIPMENT LABORATORY CAREER FIELD,2P091;2P071;2P051;2P031;2P011,2P0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
precision-measurement-equipment-laboratory-da23bbf98e,,PRECISION MEASUREMENT EQUIPMENT LABORATORY,,,,
maintenance-management-career-field-11f4704af2,2R200,MAINTENANCE MANAGEMENT CAREER FIELD,2R291;2R271;2R251;2R231;2R211,2R2,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
maintenance-management-3d5fd6728b,,MAINTENANCE MANAGEMENT,,,,
materiel-management-career-field-cf9c8fe085,2S000,MATERIEL MANAGEMENT CAREER FIELD,2S091;2S071;2S051;2S031;2S011,2S0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
materiel-management-86cb65f289,,MATERIEL MANAGEMENT,,,,
transportation-and-vehicle-management-career-field-2a6a7d8448,2T000,TRANSPORTATION AND VEHICLE MANAGEMENT CAREER FIELD,2T091;2T071;2T051;2T031;2T011,2T0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
traffic-management-operations-5645296ef8,2T100,TRAFFIC MANAGEMENT OPERATIONS,2T191;2T171;2T151;2T131;2T111,2T1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
ground-transportation-e0b1af36b6,2T200,GROUND TRANSPORTATION,2T291;2T271;2T251;2T231;2T211,2T2,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
air-transportation-1a3d5388b8,2T300,AIR TRANSPORTATION,2T390,2T3,9,superintendent
vehicle-management-3968ab3ac4,,VEHICLE MANAGEMENT,2T371;2T351;2T331;2T311,2T3,1;3;5;7,helper;apprentice;journeyman;craftsman
mission-generation-vehicular-equipment-maintenance-84a9c92c60,,MISSION GENERATION VEHICULAR EQUIPMENT MAINTENANCE,2T351;2T371;2T377;2T357;2T337;2T317,2T3,1;3;5;7,helper;apprentice;journeyman;craftsman
fleet-management-and-analysis-9d08eaa9d0,,FLEET MANAGEMENT AND ANALYSIS,,,,
munitions-and-weapons-career-field-f55b63d49c,2W000,MUNITIONS AND WEAPONS CAREER FIELD,2W091;2W071;2W051;2W031;2W011,2W0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
munitions-systems-2d5abb1d1a,2W100,MUNITIONS SYSTEMS,2W191;2W171;2W151;2W131*;2W111*,2W1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aircraft-armament-systems-a446d2c81a,,AIRCRAFT ARMAMENT SYSTEMS,,,,
k-b-52-b-2-783a609259,2W200,K B-52/B-2,2W291;2W271;2W251;2W231;2W211,2W2,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
nuclear-weapons-5ca6fc1c83,,NUCLEAR WEAPONS,,,,
civil-engineering-career-field-06c82559cc,3E000,CIVIL ENGINEERING CAREER FIELD,3E090,3E0,9,superintendent
facility-systems-740da00aa4,,FACILITY SYSTEMS,3E090;3E071;3E051;3E031;3E011,3E0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
electrical-systems-9d5d23640a,,ELECTRICAL SYSTEMS,3E072;3E052;3E032;3E012,3E0,1;3;5;7,helper;apprentice;journeyman;craftsman
electrical-power-production-4731cc958b,,ELECTRICAL POWER PRODUCTION,3E171;3E151;3E131;3E111,3E1,1;3;5;7,helper;apprentice;journeyman;craftsman
heating-ventilation-air-conditioning-and-refrigeration-ba546d25c3,3E000,"HEATING, VENTILATION, AIR CONDITIONING, AND REFRIGERATION",3E290,3E2,9,superintendent
heavy-repair-21069204ce,,HEAVY REPAIR,3E290;3E271;3E251;3E231;3E211,3E2,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
pavements-and-construction-equipment-edf056055f,,PAVEMENTS AND CONSTRUCTION EQUIPMENT,3E371;3E351;3E331;3E311,3E3,1;3;5;7,helper;apprentice;journeyman;craftsman
structural-da9a967f5d,3E000,STRUCTURAL,3E490,3E4,9,superintendent
